Symbol;Name;MarketCap;IPOyear;Sector;industry
GROW;U.S. Global Investors, Inc.;$20.51M;n/a;Finance;Investment Managers
USAU;U.S. Gold Corp.;$27.04M;n/a;n/a;n/a
UREE;U.S. Rare Earths, Inc.;n/a;n/a;n/a;n/a
UBNT;Ubiquiti Networks, Inc.;$5.23B;2011;Technology;Radio And Television Broadcasting And Communications Equipment
UFPT;UFP Technologies, Inc.;$202.85M;1993;Capital Goods;Containers/Packaging
ULTA;Ulta Beauty, Inc.;$15.52B;2007;Consumer Services;Other Specialty Stores
UCTT;Ultra Clean Holdings, Inc.;$698.61M;2004;Technology;Semiconductors
UPL;Ultra Petroleum Corp.;$1.82B;n/a;Energy;Oil & Gas Production
RARE;Ultragenyx Pharmaceutical Inc.;$2.69B;2014;Health Care;Major Pharmaceuticals
ULBI;Ultralife Corporation;$105.4M;1992;Miscellaneous;Industrial Machinery/Components
UMBF;UMB Financial Corporation;$3.5B;n/a;Finance;Major Banks
UMPQ;Umpqua Holdings Corporation;$4.1B;n/a;Finance;Savings Institutions
UNAM;Unico American Corporation;$52.28M;n/a;Finance;Property-Casualty Insurers
UBSH;Union Bankshares Corporation;$1.39B;n/a;Finance;Major Banks
UNB;Union Bankshares, Inc.;$198.11M;n/a;Finance;Major Banks
UNXL;Uni-Pixel, Inc.;$21.11M;n/a;Capital Goods;Industrial Machinery/Components
QURE;uniQure N.V.;$206.86M;2014;Health Care;Major Pharmaceuticals
UBCP;United Bancorp, Inc.;$64.29M;n/a;Finance;Major Banks
UBOH;United Bancshares, Inc.;$71.39M;n/a;Finance;Major Banks
UBSI;United Bankshares, Inc.;$3.66B;n/a;Finance;Major Banks
UCBA;United Community Bancorp;$81.14M;n/a;Finance;Savings Institutions
UCBI;United Community Banks, Inc.;$1.96B;n/a;Finance;Major Banks
UCFC;United Community Financial Corp.;$452.9M;n/a;Finance;Banks
UBNK;United Financial Bancorp, Inc. ;$908.57M;n/a;Finance;Banks
UFCS;United Fire Group, Inc;$1.12B;n/a;Finance;Property-Casualty Insurers
UIHC;United Insurance Holdings Corp.;$683.54M;n/a;Finance;Property-Casualty Insurers
UNFI;United Natural Foods, Inc.;$1.88B;1996;Consumer Non-Durables;Food Distributors
UBFO;United Security Bancshares;$151.88M;n/a;Finance;Major Banks
