Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,;
ANDA,Andina Acquisition Corp. II,10.0401,$53.31M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/anda,;
ANDAR,Andina Acquisition Corp. II,0.4,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andar,;
ANDAU,Andina Acquisition Corp. II,10.95,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andau,;
ANDAW,Andina Acquisition Corp. II,0.3099,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andaw,;
ANGI,Angie&#39;s List, Inc.,12.14,$739.07M,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,
ANGO,AngioDynamics, Inc.,16.94,$623.2M,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango,;
ANIP,ANI Pharmaceuticals, Inc.,43.86,$510.9M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip,;
ANIK,Anika Therapeutics Inc.,52,$762.24M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik,;
ANSS,ANSYS, Inc.,124.32,$10.63B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,;
ATRS,Antares Pharma, Inc.,3.12,$486.49M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs,;
ANTH,Anthera Pharmaceuticals, Inc.,1.3701,$13.81M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth,;
ABAC,Aoxin Tianli Group, Inc.,2.23,$17.8M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac,;
APOG,Apogee Enterprises, Inc.,52.31,$1.51B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,;
APEN,Apollo Endosurgery, Inc.,6.08,$104.89M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apen,;
AINV,Apollo Investment Corporation,6.36,$1.4B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv,;
APPF,AppFolio, Inc.,35,$1.18B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf,;
APPN,Appian Corporation,19.71,$1.16B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn,;
AAPL,Apple Inc.,156.39,$815.39B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,;
ARCI,Appliance Recycling Centers of America, Inc.,0.67,$4.46M,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci,;
APDN,Applied DNA Sciences Inc,1.74,$45.85M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn,;
